,JNK inhibitor,mTOR inhibitor,inosine monophosphate dehydrogenase inhibitor,LXR agonist,IGF-1 inhibitor,glycogen synthase kinase inhibitor,p38 MAPK inhibitor,p21 activated kinase inhibitor,CHK inhibitor,histone lysine methyltransferase inhibitor,RAF inhibitor,kinesin inhibitor,Aurora kinase inhibitor,ubiquitin specific protease inhibitor,tricyclic antidepressant,antihistamine,FGFR inhibitor,phosphodiesterase inhibitor,androgen receptor modulator,acetylcholine receptor antagonist,MAP kinase inhibitor,CDK inhibitor,Bcr-Abl kinase inhibitor,protein tyrosine kinase inhibitor,JAK inhibitor,PARP inhibitor,protein arginine N-methyltransferase inhibitor,smoothened receptor agonist,phospholipase inhibitor,HMGCR inhibitor,MDM inhibitor,CDC inhibitor,pyruvate dehydrogenase kinase inhibitor,tumor necrosis factor production inhibitor,HDAC inhibitor,hepatocyte growth factor receptor inhibitor,beta-catenin inhibitor,MEK inhibitor,phosphoinositide dependent kinase inhibitor,DNA inhibitor,bromodomain inhibitor,histone lysine demethylase inhibitor,DYRK inhibitor,EGFR inhibitor,BCL inhibitor,hypoxia inducible factor inhibitor
0,8.0,7.645833333333333,7.625,6.4543016297428055,6.043055555555556,4.271594337035514,3.4884899801448053,2.541657234664201,1.8158945833578188,1.6612249190247177,1.4881515150819131,1.1011785759913335,1.0096748333294816,0.979340270244054,0.9043614269471174,0.8016931004986758,0.6277669743495734,0.48257184755844845,0.4276401893006273,0.3831159499392266,0.3003187726961488,0.2883864868447027,0.2703854064410107,0.2565127810687883,0.23838865087528735,0.23029481909404845,0.23014685818645778,0.22093240219859658,0.20391244926468094,0.20354349743025837,0.1756655249605242,0.17277881894147415,0.16459679492776472,0.16223445831466898,0.14899373751870879,0.12160470326645423,0.11537535960960904,0.11502831412419678,0.1148252868972835,0.11207860822901894,0.1033916277598293,0.09035178072035394,0.08772902707207364,0.08481756288248356,0.07082328056714775,0.06673450251211976
0,16.0,13.80877976190476,15.5125,13.681682582123756,9.682926958662254,8.271626432133399,5.533611972227815,4.329721770826564,3.537525626892888,7.244645468011216,2.747354783500041,4.274086201736369,1.9069226297932966,3.5925655984194087,1.5717149281328162,1.4097450764083748,1.3485711354683831,0.6238431218513566,0.8209322700476799,0.9807995564544542,0.4410080055075611,0.6583222461881846,0.3546232110125995,1.7614700293054586,0.415372499637201,0.4063608085703046,0.4061432755630207,0.4741198035162993,0.5537353703547618,0.3887464148784956,0.4104641183149029,0.303271675003828,0.25524815887982244,0.4014193867311654,0.2822041876228154,0.20255127317341318,0.23722006978727175,0.25729249712290064,0.2233987872815688,0.24617875130909897,0.2989804698475912,0.16470509164036118,0.21935486703212523,0.16935209245346902,0.14811431403718026,0.1377858268768985
0,24.0,21.03166243478743,23.345833333333335,21.19834924879042,14.033064321299616,11.088852250292478,8.322724157860499,6.151131610986404,6.295702294996026,10.384338759428546,5.495690475585734,4.581991138617632,2.8600787674495876,6.129781525766915,2.0371547465129884,2.150192262401074,2.0445889183718076,0.8557791661112893,2.34319162047283,1.4274437163964129,1.0137947113452372,0.8115076421767222,0.4436834432829348,2.077846981855507,0.8111754666154262,0.5338555828509922,0.5595215017789009,0.7855707444983352,0.7006155967741364,0.894630619949456,0.5658527611176095,0.4837618032433587,0.3633152564923518,0.7739466628640561,0.3900250632212153,0.3206469145619582,0.3532670326456973,0.34305463189761026,0.32735383206028695,0.36090753122345687,0.42645258136072145,0.2641394852664967,0.28289746219176,0.23272433591681427,0.23864998726205877,0.20880288997794658
0,32.0,28.328091006216003,30.822023809523813,27.52096829640947,20.245068289553583,13.79629185767971,10.44764395719054,7.151722786493816,8.200347449145655,12.168750847413486,7.4151117053393945,4.851505379902086,3.907102256860638,9.702376218639003,2.2406568904269686,3.1342722832314416,2.79208772980348,1.2853544970788604,2.9371229172858238,2.0701879988978145,1.167459953689655,1.0495722200148068,0.5363435491746672,3.638989033476852,1.336323991438997,0.7023066507581701,0.6846234165148011,1.1136623559125762,0.8112871012736987,1.1590970955642896,1.0033993890967245,0.5906124170224208,0.4852576083624762,1.009519114244033,0.48740470074336023,0.5127885498856974,0.45446696532920045,0.557592625287206,0.43578877717104697,0.501726935253331,0.5731946857939683,0.4080090574705851,0.3569089960189502,0.29727327414268784,0.32376170558145845,0.2802629718172881
0,39.8875,35.703091006216,38.25535714285715,33.83029369323487,25.66693318935966,16.91245667112713,13.207283184666466,9.301646754434088,10.843603212989654,15.620842781723143,11.153544680410299,6.536658310726233,4.708654679615767,10.741506563673683,2.976648489228322,3.6965106726250627,3.62589336865695,1.6666907459486324,3.2116673785108074,3.1722131814611974,1.3903461864654472,1.3856860857959545,0.8057103879102498,3.9604702674975556,1.7393562701359406,0.8774124927699198,0.8273215100959096,1.3382890281580508,0.9565628625025705,1.3826019275237835,1.1595448706332214,0.8463138411797577,0.5969525498009005,1.237257908616394,0.6293560314974741,0.6521816747828599,0.5636943679100613,0.6471058958564905,0.5553594125369543,0.6246393925711204,0.6809801061767222,0.5064791391157781,0.4267488685921199,0.35792800258389196,0.39658200108055386,0.34514713013421844
0,47.62083333333334,42.171471237096235,42.8070026449822,37.90003236854307,28.42785321304336,17.650709672812546,15.51399144003824,10.510318030949698,12.228867642483625,16.069130292820663,14.214615735292996,8.296515952992367,5.380991439593909,11.684306691622266,3.2202669589816906,4.435236762906683,4.028576028655783,2.049300855532232,3.62055409855338,3.646458203976654,1.6140067524342696,1.5348961821262,0.8782266361628692,4.227888480299725,2.2513640686532317,1.0378314159731468,0.9922461360381929,1.6322990175340952,1.1684803636488874,1.5092594861469226,1.3724830024015577,1.0043093479414211,0.9040083743847225,1.3927654093879043,0.7231126177310214,0.7436030334953474,0.6883917793485113,0.748143249379409,0.6478375252039431,0.717082493840173,0.759099953056114,0.5901683189501665,0.520222086381865,0.43598950101316053,0.5725001857038996,0.40894857607458057
0,55.62083333333334,49.53694742757243,50.62366931164887,44.409556178066886,34.381129103819255,20.892901519368966,18.514306372434078,12.767010045549174,14.016506984350906,20.011833533382983,15.586654717691754,9.643564402700509,6.295924588883955,13.485085542852229,3.4975699262787154,4.80395496613694,4.61838265640461,2.138926319143125,4.474109057440836,4.637352214066582,1.8083149593737855,2.138712037261768,1.888086580797562,4.612085761479548,2.7380798560214634,1.2735139246498834,1.2299568960777814,1.9089804679801317,1.2919548839943091,1.7235298552018665,1.5653301859353201,1.1787567400693038,1.0130630180604698,1.638563314934584,0.8394696744967378,0.8368832799584383,0.8164063522601812,0.8520147604530507,0.7657417520907268,0.8547898650691107,0.8603319801398602,0.6863793229154384,0.5944194483963884,0.5027316202903754,0.6679578564683349,0.4735431086036339
0,63.62083333333334,54.96493139106336,57.06374867672824,50.91306655657726,40.37850412582243,21.645199247878622,20.890761055271994,13.468328722932572,14.881604907177605,20.690866101030554,16.562348633976555,12.28477502911164,7.219419336155408,15.407833230352487,5.134786718425602,5.652114514660562,5.543405511171806,2.4608190312842826,4.793574846889111,5.537892376987025,2.02498511311895,2.362797149864115,1.9598898568699594,5.804418531131466,3.409054550193431,1.6046022655176049,1.4680559632773698,2.317744229371011,1.4230040077210528,1.9107980808704577,1.6971788259308043,1.2741982827822775,1.3459292430488659,1.8917419164299307,0.965765292128569,0.9529770708582084,0.9372821605596083,0.9459379071260557,0.8862790846369795,1.054068589156865,0.9747418654738467,0.7659541284056047,0.6520684827059635,0.5457967827677392,0.7373833206363969,0.546025435542636
0,71.62083333333334,61.187231313363284,65.06374867672824,58.24024909625982,46.69996877228709,25.260520793163405,23.999184537085267,15.370311823019506,16.612263815477768,25.14757002983214,17.833984840141557,13.114798883713707,8.085557174980853,18.116133556629368,5.771044377757118,6.090002623397628,6.116134215754032,2.5545866270890283,5.2129602611346755,6.13937888850886,2.2767130031330503,2.9588150643058717,2.781169159373221,6.318492147315326,3.7354437989478138,1.8631450018544407,1.7306600301464001,2.503215150248133,1.544464472301737,2.1725039083919335,1.8961753345139098,1.4661840908617991,1.4634399219934544,2.3514165872748216,1.081798301462673,1.0248432608621698,1.0827924222826093,1.071303355505542,1.0080097100628962,1.2482127868254624,1.0906419422661149,0.8642703442194738,0.7132103766329403,0.6007178765125838,0.8298743434197418,0.6125011478869798
0,79.57083333333334,67.35359000901548,71.42069312117268,64.43469354070427,52.62909699688669,26.8815718317151,25.38715352800369,15.73371570318676,18.184114004354818,25.861228826477493,18.549526710102406,15.242732888124282,8.655856641121565,19.084788154714506,6.651828899956242,7.62880046712502,7.880911555852481,2.707085893747841,5.45123418294603,6.5907099900987065,2.5955284075836986,3.167905345533918,2.8735794239593067,6.75879726133577,4.345514531250351,2.2419868653186446,1.8863000581352427,2.8663683093823815,1.701126812267622,2.3335362120725156,2.0624265739981857,1.6006357035152476,1.8027767977530536,2.590161300536448,1.36478549296173,1.1482803166934779,1.20725313867935,1.1383096941922484,1.1267631069817623,1.395154193873873,1.2016361345977096,0.9485761811718275,0.7764320659843125,0.6473459099719213,0.9078427425070827,0.697471329636111
0,87.57083333333334,74.46460191377737,78.766526454506,71.94421735022809,58.574335092124784,31.300982282375546,27.224728917393577,17.15504678198023,20.37804888891471,28.630092341950398,21.33613385295955,16.65201641509918,9.491682372689638,19.621872818805873,7.343043973263819,8.19125650450175,8.606587567655293,2.982965312499336,5.746256386243906,7.082994389414293,2.942026497593138,3.5567903854185396,3.269602577546077,7.038160488460279,4.729178126821801,2.5356319045717086,2.065826798221606,3.0911488250154076,1.835087971902943,2.541125511695487,2.218303330556733,1.838253145685997,1.8970826618900347,2.804764711615262,1.4859206743748798,1.256025630787527,1.3245946750967161,1.2143609231252532,1.2467756997582033,1.5104249919346295,1.3522949417788366,1.0437816866135048,0.8530152497897225,0.7054698254950568,0.9943120606650322,0.7644956848606873
0,95.57083333333334,78.52041514319711,84.3503308445604,78.10322025856726,61.80779515133581,31.874539842636306,29.37911868585445,18.553157743599254,22.1192576801235,29.53738646583499,23.562880249256082,18.46610405127968,10.157523663960387,20.773334553263822,7.537207697007701,8.483303639117128,8.850323223550598,3.2842269711900096,6.09533640503117,7.495306052034462,3.1954481726421453,3.7634755125889887,3.3513394262556027,7.564372958464954,4.992132222551867,2.814675892397327,2.3220579336700444,3.379172509869859,1.9839911638678391,2.7667609831088944,2.6517127361532866,1.9924311803339687,2.0642981631842114,2.9546404031162075,1.5872402159968244,1.346376207886477,1.468282286404951,1.3765664807850528,1.338735166248913,1.5966309956674767,1.4559289242083089,1.1329577450717636,0.9505973724799542,0.7895423363654829,1.1901135200193729,0.8258625546203548
