plate,Training mAP model,Training mAP BM,Validation mAP model,Validation mAP BM
BR00116628highexp,0.5726697637711547,0.323743457392036,0.36527412789896613,0.306904496838682
BR00116625,0.696724841535801,0.311179969392864,0.3785764442484009,0.286887939799379
BR00116630highexp,0.7002725806982194,0.292343754491722,0.35933735275614254,0.302685986444884
BR00116631,0.6860565805727397,0.296852786948079,0.31154489513462796,0.275655188198316
BR00116629highexp,0.5855771919263424,0.294731826149696,0.38460550360659457,0.288819844939096
044247-Vbin1,0.44922974542296185,0.229680570619917,0.2974762980777099,0.1977978764073
BR00116627highexp,0.6285295368274688,0.305360498082413,0.40824739663478926,0.26915793936424
015124-Vhighexp,0.642143694645216,0.277618989217762,0.3962451726421087,0.270230809897882
BR00116627,0.7142156109684059,0.302125684827456,0.37266394548425885,0.293140954340739
015124-V,0.5126709565248729,0.238930043930484,0.2833145298608355,0.25258767918495
BR00116629,0.5875921169367673,0.303006451876626,0.3653347640376558,0.285884661508691
BR00116633bin1,0.4891853416293582,0.269183390151341,0.30873506984696647,0.287571187649565
