plate,mAP model,mAP BM
BR00116628highexp,0.18053022607122934,0.116315926808096
BR00116625,0.18777500388877977,0.115995243687568
BR00116630highexp,0.18502486094665394,0.108101835906531
BR00116631,0.17775804664604203,0.109244711995958
BR00116629highexp,0.18637995523621648,0.110470117494485
044247-Vbin1,0.13064875778527102,0.084373740616751
BR00116627highexp,0.18652214856565086,0.105762286320456
015124-Vhighexp,0.1594699877292152,0.0956632421754926
BR00116627,0.18881681888169047,0.104266898209227
015124-V,0.1533726250298703,0.0856758408092184
BR00116629,0.1799186562280772,0.116474208445924
BR00116633bin1,0.13429728717355183,0.0915570581201496
