,Features,Correlation
930,Cytoplasm.Cytoplasm_Correlation_K_Mito_DNA,-0.5106666666666667
587,Cytoplasm.Cytoplasm_Correlation_K_Mito_RNA,-0.49933333333333335
1040,Cells.Cells_Correlation_K_Mito_RNA,-0.48299999999999993
381,Cells.Cells_Correlation_Overlap_AGP_Brightfield,-0.46366666666666667
828,Cytoplasm.Cytoplasm_Intensity_MeanIntensity_DNA,-0.4583333333333333
72,Cytoplasm.Cytoplasm_Intensity_UpperQuartileIntensity_DNA,-0.45566666666666666
1309,Cytoplasm.Cytoplasm_Intensity_MeanIntensityEdge_DNA,-0.42366666666666664
829,Cells.Cells_Correlation_Overlap_Mito_RNA,-0.4143333333333333
439,Cells.Cells_Intensity_MeanIntensityEdge_DNA,-0.413
546,Cells.Cells_RadialDistribution_MeanFrac_ER_4of4,-0.4126666666666667
438,Cells.Cells_Intensity_MedianIntensity_DNA,-0.412
231,Cells.Cells_Intensity_MinIntensity_DNA,-0.40599999999999997
918,Cytoplasm.Cytoplasm_Intensity_MinIntensity_DNA,-0.40599999999999997
186,Cells.Cells_Correlation_K_Mito_AGP,-0.4046666666666667
369,Cells.Cells_Correlation_RWC_RNA_DNA,-0.4026666666666667
451,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_DNA,-0.40099999999999997
499,Cells.Cells_Intensity_MinIntensityEdge_DNA,-0.40099999999999997
813,Cytoplasm.Cytoplasm_Correlation_K_Mito_AGP,-0.3906666666666667
883,Cytoplasm.Cytoplasm_Correlation_K_ER_RNA,-0.38633333333333336
725,Cytoplasm.Cytoplasm_Intensity_MedianIntensity_DNA,-0.38533333333333336
