,Features,Correlation
1061,Cells.Cells_Intensity_IntegratedIntensity_Mito,0.6715
140,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensity_Mito,0.65925
917,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensityEdge_Mito,0.603
874,Cells.Cells_AreaShape_Area,0.5922499999999999
295,Cells.Cells_Intensity_IntegratedIntensity_Brightfield,0.5842499999999999
535,Cytoplasm.Cytoplasm_AreaShape_Area,0.5755
633,Cells.Cells_Intensity_IntegratedIntensity_AGP,0.57525
651,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensity_Brightfield,0.5685
1253,Nuclei.Nuclei_Intensity_IntegratedIntensityEdge_Mito,0.56775
565,Cytoplasm.Cytoplasm_AreaShape_Perimeter,0.567
344,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensity_DNA,0.56675
187,Cells.Cells_AreaShape_MaximumRadius,0.55975
240,Cells.Cells_Intensity_StdIntensity_Mito,0.55825
515,Cells.Cells_AreaShape_MeanRadius,0.55825
898,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensity_AGP,0.558
825,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensityEdge_Brightfield,0.5562499999999999
1214,Cytoplasm.Cytoplasm_Correlation_K_DNA_Mito,0.55425
484,Cells.Cells_AreaShape_MedianRadius,0.55175
1306,Cells.Cells_AreaShape_Perimeter,0.5507500000000001
228,Cells.Cells_Intensity_IntegratedIntensity_DNA,0.547
