Feature type	Feature name
Cytoplasm	Cytoplasm_Correlation_Manders_DNA_AGP
Cytoplasm	Cytoplasm_Correlation_Manders_DNA_ER
Cytoplasm	Cytoplasm_Correlation_Manders_DNA_Mito
Cytoplasm	Cytoplasm_Correlation_Manders_DNA_RNA
Cytoplasm	Cytoplasm_Correlation_Manders_ER_AGP
Cytoplasm	Cytoplasm_Correlation_Manders_ER_DNA
Cytoplasm	Cytoplasm_Correlation_Manders_ER_Mito
Cytoplasm	Cytoplasm_Correlation_Manders_ER_RNA
Cytoplasm	Cytoplasm_Correlation_Manders_Mito_AGP
Cytoplasm	Cytoplasm_Correlation_Manders_Mito_DNA
Cytoplasm	Cytoplasm_Correlation_Manders_Mito_ER
Cytoplasm	Cytoplasm_Correlation_Manders_Mito_RNA
Cytoplasm	Cytoplasm_Correlation_Manders_RNA_AGP
Cytoplasm	Cytoplasm_Correlation_Manders_RNA_DNA
Cytoplasm	Cytoplasm_Correlation_Manders_RNA_ER
Cytoplasm	Cytoplasm_Correlation_Manders_RNA_Mito
Cytoplasm	Cytoplasm_Correlation_Overlap_DNA_AGP
Cytoplasm	Cytoplasm_Correlation_Overlap_DNA_ER
Cytoplasm	Cytoplasm_Correlation_Overlap_DNA_Mito
Cytoplasm	Cytoplasm_Correlation_Overlap_DNA_RNA
Cytoplasm	Cytoplasm_Correlation_Overlap_ER_AGP
Cytoplasm	Cytoplasm_Correlation_Overlap_ER_RNA
Cytoplasm	Cytoplasm_Correlation_Overlap_Mito_AGP
Cytoplasm	Cytoplasm_Correlation_Overlap_Mito_ER
Cytoplasm	Cytoplasm_Correlation_Overlap_Mito_RNA
Cytoplasm	Cytoplasm_Correlation_Overlap_RNA_AGP
Cytoplasm	Cytoplasm_Correlation_RWC_AGP_DNA
Cytoplasm	Cytoplasm_Correlation_RWC_AGP_ER
Cytoplasm	Cytoplasm_Correlation_RWC_AGP_Mito
Cytoplasm	Cytoplasm_Correlation_RWC_AGP_RNA
Cytoplasm	Cytoplasm_Correlation_RWC_DNA_AGP
Cytoplasm	Cytoplasm_Correlation_RWC_DNA_ER
Cytoplasm	Cytoplasm_Correlation_RWC_DNA_Mito
Cytoplasm	Cytoplasm_Correlation_RWC_DNA_RNA
Cytoplasm	Cytoplasm_Correlation_RWC_ER_AGP
Cytoplasm	Cytoplasm_Correlation_RWC_ER_DNA
Cytoplasm	Cytoplasm_Correlation_RWC_ER_Mito
Cytoplasm	Cytoplasm_Correlation_RWC_ER_RNA
Cytoplasm	Cytoplasm_Correlation_RWC_Mito_AGP
Cytoplasm	Cytoplasm_Correlation_RWC_Mito_DNA
Cytoplasm	Cytoplasm_Correlation_RWC_Mito_ER
Cytoplasm	Cytoplasm_Correlation_RWC_Mito_RNA
Cytoplasm	Cytoplasm_Correlation_RWC_RNA_AGP
Cytoplasm	Cytoplasm_Correlation_RWC_RNA_DNA
Cytoplasm	Cytoplasm_Correlation_RWC_RNA_ER
Cytoplasm	Cytoplasm_Correlation_RWC_RNA_Mito
Cytoplasm	Cytoplasm_Granularity_10_AGP
Cytoplasm	Cytoplasm_Granularity_10_ER
Cytoplasm	Cytoplasm_Granularity_10_Mito
Cytoplasm	Cytoplasm_Granularity_10_RNA
Cytoplasm	Cytoplasm_Granularity_11_AGP
Cytoplasm	Cytoplasm_Granularity_11_ER
Cytoplasm	Cytoplasm_Granularity_11_Mito
Cytoplasm	Cytoplasm_Granularity_11_RNA
Cytoplasm	Cytoplasm_Granularity_12_AGP
Cytoplasm	Cytoplasm_Granularity_12_ER
Cytoplasm	Cytoplasm_Granularity_12_Mito
Cytoplasm	Cytoplasm_Granularity_12_RNA
Cytoplasm	Cytoplasm_Granularity_13_AGP
Cytoplasm	Cytoplasm_Granularity_13_ER
Cytoplasm	Cytoplasm_Granularity_13_Mito
Cytoplasm	Cytoplasm_Granularity_13_RNA
Cytoplasm	Cytoplasm_Granularity_14_AGP
Cytoplasm	Cytoplasm_Granularity_14_ER
Cytoplasm	Cytoplasm_Granularity_14_Mito
Cytoplasm	Cytoplasm_Granularity_14_RNA
Cytoplasm	Cytoplasm_Granularity_15_AGP
Cytoplasm	Cytoplasm_Granularity_15_ER
Cytoplasm	Cytoplasm_Granularity_15_Mito
Cytoplasm	Cytoplasm_Granularity_15_RNA
Cytoplasm	Cytoplasm_Granularity_16_AGP
Cytoplasm	Cytoplasm_Granularity_16_ER
Cytoplasm	Cytoplasm_Granularity_16_Mito
Cytoplasm	Cytoplasm_Granularity_16_RNA
Cytoplasm	Cytoplasm_Granularity_1_AGP
Cytoplasm	Cytoplasm_Granularity_1_ER
Cytoplasm	Cytoplasm_Granularity_1_Mito
Cytoplasm	Cytoplasm_Granularity_1_RNA
Cytoplasm	Cytoplasm_Granularity_2_AGP
Cytoplasm	Cytoplasm_Granularity_2_ER
Cytoplasm	Cytoplasm_Granularity_2_Mito
Cytoplasm	Cytoplasm_Granularity_2_RNA
Cytoplasm	Cytoplasm_Granularity_3_AGP
Cytoplasm	Cytoplasm_Granularity_3_ER
Cytoplasm	Cytoplasm_Granularity_3_Mito
Cytoplasm	Cytoplasm_Granularity_3_RNA
Cytoplasm	Cytoplasm_Granularity_4_AGP
Cytoplasm	Cytoplasm_Granularity_4_ER
Cytoplasm	Cytoplasm_Granularity_4_Mito
Cytoplasm	Cytoplasm_Granularity_4_RNA
Cytoplasm	Cytoplasm_Granularity_5_AGP
Cytoplasm	Cytoplasm_Granularity_5_ER
Cytoplasm	Cytoplasm_Granularity_5_Mito
Cytoplasm	Cytoplasm_Granularity_5_RNA
Cytoplasm	Cytoplasm_Granularity_6_AGP
Cytoplasm	Cytoplasm_Granularity_6_ER
Cytoplasm	Cytoplasm_Granularity_6_Mito
Cytoplasm	Cytoplasm_Granularity_6_RNA
Cytoplasm	Cytoplasm_Granularity_7_AGP
Cytoplasm	Cytoplasm_Granularity_7_ER
Cytoplasm	Cytoplasm_Granularity_7_Mito
Cytoplasm	Cytoplasm_Granularity_7_RNA
Cytoplasm	Cytoplasm_Granularity_8_AGP
Cytoplasm	Cytoplasm_Granularity_8_ER
Cytoplasm	Cytoplasm_Granularity_8_Mito
Cytoplasm	Cytoplasm_Granularity_8_RNA
Cytoplasm	Cytoplasm_Granularity_9_AGP
Cytoplasm	Cytoplasm_Granularity_9_ER
Cytoplasm	Cytoplasm_Granularity_9_Mito
Cytoplasm	Cytoplasm_Granularity_9_RNA
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensityEdge_AGP
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensityEdge_DNA
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensityEdge_ER
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensityEdge_Mito
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensityEdge_RNA
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensity_DNA
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensity_ER
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_IntegratedIntensity_RNA
Cytoplasm	Cytoplasm_Intensity_LowerQuartileIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_LowerQuartileIntensity_DNA
Cytoplasm	Cytoplasm_Intensity_LowerQuartileIntensity_ER
Cytoplasm	Cytoplasm_Intensity_LowerQuartileIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_LowerQuartileIntensity_RNA
Cytoplasm	Cytoplasm_Intensity_MADIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_MADIntensity_DNA
Cytoplasm	Cytoplasm_Intensity_MADIntensity_ER
Cytoplasm	Cytoplasm_Intensity_MADIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_MADIntensity_RNA
Cytoplasm	Cytoplasm_Intensity_MassDisplacement_AGP
Cytoplasm	Cytoplasm_Intensity_MassDisplacement_DNA
Cytoplasm	Cytoplasm_Intensity_MassDisplacement_ER
Cytoplasm	Cytoplasm_Intensity_MassDisplacement_Mito
Cytoplasm	Cytoplasm_Intensity_MassDisplacement_RNA
Cytoplasm	Cytoplasm_Intensity_MaxIntensityEdge_AGP
Cytoplasm	Cytoplasm_Intensity_MaxIntensityEdge_DNA
Cytoplasm	Cytoplasm_Intensity_MaxIntensityEdge_ER
Cytoplasm	Cytoplasm_Intensity_MaxIntensityEdge_Mito
Cytoplasm	Cytoplasm_Intensity_MaxIntensityEdge_RNA
Cytoplasm	Cytoplasm_Intensity_MaxIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_MaxIntensity_DNA
Cytoplasm	Cytoplasm_Intensity_MaxIntensity_ER
Cytoplasm	Cytoplasm_Intensity_MaxIntensity_Mito
Cytoplasm	Cytoplasm_Intensity_MaxIntensity_RNA
Cytoplasm	Cytoplasm_Intensity_MeanIntensityEdge_AGP
Cytoplasm	Cytoplasm_Intensity_MeanIntensityEdge_DNA
Cytoplasm	Cytoplasm_Intensity_MeanIntensityEdge_ER
Cytoplasm	Cytoplasm_Intensity_MeanIntensityEdge_Mito
Cytoplasm	Cytoplasm_Intensity_MeanIntensityEdge_RNA
Cytoplasm	Cytoplasm_Intensity_MeanIntensity_AGP
Cytoplasm	Cytoplasm_Intensity_MeanIntensity_DNA
