plate,mAP model,mAP BM
BR00115128highexp,0.18566342206144146,0.1273173973971837
BR00115125highexp,0.1737301832340331,0.1154083254316518
BR00115134,0.1888958447132228,0.1174367569259652
BR00115131,0.18791244982909774,0.1209038549649381
BR00115126,0.13746158384111296,0.1015246997465389
BR00115134bin1,0.16525323536219164,0.1110367486580359
BR00115133,0.16969994810925418,0.1177261154950904
BR00115127,0.18367380166842695,0.1230108511103813
BR00115133highexp,0.17584758976861464,0.12243579611275
BR00115128,0.19531578917811593,0.1191822557489568
BR00115129,0.186852663687516,0.1171028068392065
BR00115134multiplane,0.13839713005056803,0.1152302422835611
BR00115126highexp,0.1370569718681864,0.0981956200982106
