,FeatureNames,Saliency
794,Cells.Cells_RadialDistribution_RadialCV_AGP_4of4,0.0021893356
170,Cytoplasm.Cytoplasm_Granularity_1_RNA,0.0021676677
985,Cells.Cells_Neighbors_SecondClosestDistance_Adjacent,0.0021660333
1140,Cells.Cells_Granularity_1_Brightfield,0.0021589634
431,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_ER,0.0021497342
476,Nuclei.Nuclei_Intensity_MADIntensity_Brightfield,0.0021396128
768,Cytoplasm.Cytoplasm_AreaShape_Zernike_1_1,0.0021198452
804,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,0.0020967987
1199,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_2of4,0.0020876538
1293,Nuclei.Nuclei_Correlation_RWC_AGP_DNA,0.0020485613
1020,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_2of4,0.0020457325
50,Cytoplasm.Cytoplasm_AreaShape_Zernike_7_3,0.002033202
1100,Cells.Cells_Intensity_MassDisplacement_ER,0.0020041922
1183,Nuclei.Nuclei_Granularity_6_DNA,0.0020020911
43,Cells.Cells_Granularity_3_ER,0.0019972266
938,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_4of4,0.0019738767
1034,Cells.Cells_Correlation_Correlation_Mito_RNA,0.00197377
1285,Cytoplasm.Cytoplasm_Granularity_10_ER,0.0019466083
461,Cytoplasm.Cytoplasm_Correlation_Correlation_Mito_RNA,0.0019430551
359,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_4of4,0.0019276959
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0019240434
855,Cells.Cells_Intensity_MADIntensity_Brightfield,0.0019192399
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.0019111747
863,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_1of4,0.0019085966
1316,Nuclei.Nuclei_AreaShape_Zernike_9_1,0.0019036367
94,Nuclei.Nuclei_AreaShape_Zernike_6_4,0.0018805207
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.0018797319
727,Nuclei.Nuclei_AreaShape_Zernike_9_9,0.0018708346
700,Nuclei.Nuclei_Intensity_StdIntensity_Brightfield,0.0018552812
910,Cells.Cells_Correlation_RWC_Mito_RNA,0.0018433621
1184,Cytoplasm.Cytoplasm_Granularity_6_ER,0.0018385877
331,Cells.Cells_Granularity_1_RNA,0.0018289776
493,Nuclei.Nuclei_Granularity_15_DNA,0.0018278915
