,FeatureNames,Saliency
550,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_3of4,0.001141275
458,Cells.Cells_Intensity_StdIntensityEdge_Mito,0.001127049
611,Nuclei.Nuclei_Granularity_5_DNA,0.001126919
759,Nuclei.Nuclei_Correlation_RWC_ER_Mito,0.001125136
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.001122222
1304,Cytoplasm.Cytoplasm_Correlation_K_AGP_RNA,0.0011103267
233,Cytoplasm.Cytoplasm_Granularity_3_Brightfield,0.0011080789
1034,Cells.Cells_Correlation_Correlation_Mito_RNA,0.0010833801
299,Nuclei.Nuclei_AreaShape_Zernike_3_3,0.0010805975
1194,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_2of4,0.0010763638
1184,Cytoplasm.Cytoplasm_Granularity_6_ER,0.0010754867
1104,Cells.Cells_Granularity_6_AGP,0.0010718559
956,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_1of4,0.001071603
121,Cells.Cells_Granularity_3_AGP,0.0010607603
127,Nuclei.Nuclei_Granularity_10_ER,0.0010573369
156,Nuclei.Nuclei_Number_Object_Number,0.0010444307
1144,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_RNA,0.0010409006
1095,Cells.Cells_Granularity_10_ER,0.0010395807
629,Nuclei.Nuclei_Intensity_MADIntensity_DNA,0.0010251191
3,Cytoplasm.Cytoplasm_Parent_Cells,0.0010227895
881,Nuclei.Nuclei_Intensity_MADIntensity_ER,0.001012409
1200,Cytoplasm.Cytoplasm_Correlation_Correlation_ER_RNA,0.0010037009
368,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_3of4,0.0010005852
795,Cytoplasm.Cytoplasm_Granularity_3_AGP,0.0009962872
960,Cells.Cells_AreaShape_Zernike_4_0,0.0009830713
1100,Cells.Cells_Intensity_MassDisplacement_ER,0.0009814064
1183,Nuclei.Nuclei_Granularity_6_DNA,0.0009740623
307,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_1of4,0.0009727178
214,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_ER_1of4,0.0009710322
1174,Cells.Cells_Granularity_3_RNA,0.0009704435
489,Nuclei.Nuclei_Granularity_1_RNA,0.0009574362
153,Nuclei.Nuclei_AreaShape_Extent,0.0009555701
113,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_ER,0.0009543056
568,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_3of4,0.0009278733
297,Nuclei.Nuclei_Granularity_2_AGP,0.00092281186
44,Cytoplasm.Cytoplasm_Correlation_K_RNA_AGP,0.0009188697
780,Cells.Cells_AreaShape_Solidity,0.0009154686
1078,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_3of4,0.00090619747
1168,Nuclei.Nuclei_AreaShape_Zernike_5_5,0.00090049923
682,Cytoplasm.Cytoplasm_Correlation_Overlap_Mito_RNA,0.00089952885
364,Cytoplasm.Cytoplasm_AreaShape_FormFactor,0.0008953207
1312,Cytoplasm.Cytoplasm_AreaShape_Zernike_6_2,0.0008946242
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.00089149293
31,Cells.Cells_Granularity_7_ER,0.00088941725
773,Nuclei.Nuclei_Correlation_RWC_RNA_Brightfield,0.00088541774
785,Nuclei.Nuclei_Granularity_3_AGP,0.0008853201
403,Cells.Cells_RadialDistribution_RadialCV_ER_2of4,0.00088349724
65,Cells.Cells_Granularity_5_RNA,0.00088061724
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.00087842334
493,Nuclei.Nuclei_Granularity_15_DNA,0.0008696342
1198,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_ER_4of4,0.0008665278
474,Cells.Cells_Intensity_MinIntensity_ER,0.0008619048
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0008584718
100,Cytoplasm.Cytoplasm_Granularity_9_AGP,0.0008576148
983,Cells.Cells_Intensity_StdIntensityEdge_ER,0.0008514193
1301,Cytoplasm.Cytoplasm_Granularity_9_Brightfield,0.0008502983
797,Cells.Cells_Correlation_RWC_Mito_ER,0.00084626063
101,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_2of4,0.0008423664
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.0008410735
861,Cells.Cells_Intensity_MinIntensityEdge_ER,0.0008393583
996,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,0.00083670876
253,Nuclei.Nuclei_AreaShape_Zernike_8_0,0.00083396764
622,Cytoplasm.Cytoplasm_Correlation_K_AGP_DNA,0.0008319853
304,Nuclei.Nuclei_Intensity_IntegratedIntensityEdge_ER,0.0008318642
1293,Nuclei.Nuclei_Correlation_RWC_AGP_DNA,0.0008306515
9,Cells.Cells_RadialDistribution_RadialCV_DNA_4of4,0.00082981854
