,FeatureNames,Saliency
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0038380777
611,Nuclei.Nuclei_Granularity_5_DNA,0.003353372
109,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,0.003315828
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0032710906
1029,Nuclei.Nuclei_Granularity_2_Brightfield,0.0031948118
616,Nuclei.Nuclei_AreaShape_Solidity,0.0028652463
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.002595094
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.002455292
526,Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,0.0024343424
321,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_2of4,0.002313876
287,Nuclei.Nuclei_AreaShape_Zernike_7_7,0.0022620365
921,Nuclei.Nuclei_Granularity_9_DNA,0.002236033
984,Nuclei.Nuclei_RadialDistribution_FracAtD_Mito_3of4,0.0020557977
969,Nuclei.Nuclei_AreaShape_Zernike_3_1,0.0020014348
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.0019500324
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0019450126
697,Nuclei.Nuclei_Correlation_RWC_DNA_RNA,0.001940646
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.0019102554
1167,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_ER,0.0018990602
727,Nuclei.Nuclei_AreaShape_Zernike_9_9,0.0018781053
1140,Cells.Cells_Granularity_1_Brightfield,0.001839866
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0018353594
754,Nuclei.Nuclei_AreaShape_Zernike_8_8,0.0018190044
933,Cytoplasm.Cytoplasm_Granularity_4_ER,0.0018084701
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.0017938389
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.00176552
118,Cells.Cells_Granularity_2_Brightfield,0.0017636141
229,Nuclei.Nuclei_Granularity_3_DNA,0.0017632217
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0017570959
328,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_4of4,0.0017238408
1083,Nuclei.Nuclei_Granularity_4_DNA,0.001714717
547,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,0.0016859127
153,Nuclei.Nuclei_AreaShape_Extent,0.0016827177
378,Nuclei.Nuclei_Correlation_RWC_DNA_Brightfield,0.0016638569
166,Cells.Cells_Correlation_Correlation_DNA_Mito,0.0016532069
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.0016498807
1168,Nuclei.Nuclei_AreaShape_Zernike_5_5,0.0016362254
990,Cytoplasm.Cytoplasm_Granularity_3_ER,0.001618088
299,Nuclei.Nuclei_AreaShape_Zernike_3_3,0.0015556151
420,Cells.Cells_RadialDistribution_RadialCV_Brightfield_1of4,0.0015520747
453,Cells.Cells_Correlation_Correlation_ER_RNA,0.0015459085
1277,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_3of4,0.0015419173
380,Cytoplasm.Cytoplasm_Correlation_Correlation_DNA_ER,0.0015265155
159,Nuclei.Nuclei_AreaShape_FormFactor,0.0014980589
1227,Nuclei.Nuclei_Correlation_Overlap_DNA_RNA,0.0014755332
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.001460815
863,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_1of4,0.0014530383
