,SaliencyV0,SaliencyV1,SaliencyV2,SaliencyV4,TopYfeats
16,0.12495204,0.7216296,0.2545166,0.84658164,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
17,0.24517778,0.61551315,0.35503668,0.86069095,"Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
18,0.17135167,0.64972705,0.42346,0.8210787,"Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_RWC_Mito_DNA"
19,0.1979859,0.67501944,0.02199081,0.87300533,"Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
20,0.040946316,0.27425405,0.29410934,0.31520036,"Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_RWC_Mito_DNA"
21,0.048422005,0.21733525,0.13874234,0.26575726,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
22,0.16620202,0.6876222,0.28440452,0.8538242,"Nuclei.Nuclei_Granularity_7_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
23,0.20224974,0.8073561,0.4109949,1.0096059,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA"
24,0.13995498,0.64080524,0.5623835,0.7807602,"Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
25,0.19238657,0.7992367,0.37457567,0.9916233,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
26,0.205161,0.7012028,0.33524632,0.90636384,"Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
27,0.17576028,0.51073354,0.15400739,0.6864938,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_RWC_Mito_DNA"
28,0.16202421,0.7694906,0.2743625,0.9315148,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
29,0.18950649,0.66226804,0.25987852,0.8517745,"Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
30,0.13997683,0.7710123,0.22787976,0.91098917,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
31,0.1481423,0.7117292,0.3469342,0.8598715,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
32,0.22919075,0.75302553,0.27995625,0.9822163,"Nuclei.Nuclei_Granularity_7_DNA,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
33,0.14186656,0.65676886,0.18110974,0.7986354,"Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
