,FeatureNames,Saliency
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0019862903
1068,Cells.Cells_Intensity_MaxIntensity_ER,0.0015753312
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.0015042486
1295,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,0.0014606321
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0014441935
934,Nuclei.Nuclei_Granularity_8_DNA,0.0014064059
996,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,0.0013760795
196,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,0.0013291413
216,Nuclei.Nuclei_Correlation_RWC_Mito_AGP,0.0013196666
1022,Nuclei.Nuclei_Correlation_RWC_AGP_Mito,0.0012586457
549,Cells.Cells_Correlation_Overlap_DNA_ER,0.0012566596
358,Cells.Cells_Correlation_RWC_AGP_ER,0.0012319083
1188,Nuclei.Nuclei_Granularity_7_DNA,0.0011949498
948,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_3of4,0.0011947907
627,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,0.001185409
113,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_ER,0.0011783445
340,Nuclei.Nuclei_AreaShape_Zernike_4_4,0.0011416577
1230,Nuclei.Nuclei_Correlation_RWC_ER_RNA,0.0010883211
947,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_2of4,0.0010881837
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.0010851449
1200,Cytoplasm.Cytoplasm_Correlation_Correlation_ER_RNA,0.0010203195
1154,Cells.Cells_RadialDistribution_RadialCV_RNA_2of4,0.0010156651
206,Cytoplasm.Cytoplasm_Granularity_2_AGP,0.0009967845
673,Nuclei.Nuclei_Correlation_K_AGP_ER,0.0009886401
797,Cells.Cells_Correlation_RWC_Mito_ER,0.0009817212
225,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_1of4,0.00097041036
656,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_DNA_3of4,0.00096912915
692,Cells.Cells_Intensity_MaxIntensity_RNA,0.00096594385
1182,Cells.Cells_Correlation_Correlation_DNA_ER,0.00096167735
897,Cells.Cells_Correlation_RWC_ER_AGP,0.00095614715
245,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_4of4,0.00095592445
453,Cells.Cells_Correlation_Correlation_ER_RNA,0.0009552936
1074,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_AGP,0.00095113245
353,Cytoplasm.Cytoplasm_Correlation_RWC_ER_AGP,0.00094974425
1003,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_4of4,0.00094703946
520,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_3of4,0.00094516616
896,Cells.Cells_Correlation_RWC_DNA_ER,0.00094406
1239,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_Brightfield,0.0009333865
229,Nuclei.Nuclei_Granularity_3_DNA,0.0009233674
754,Nuclei.Nuclei_AreaShape_Zernike_8_8,0.00092208904
279,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_Brightfield,0.00090925716
1113,Cells.Cells_Neighbors_FirstClosestObjectNumber_Adjacent,0.0008984324
327,Cytoplasm.Cytoplasm_Intensity_MADIntensity_DNA,0.0008944473
870,Cytoplasm.Cytoplasm_Correlation_RWC_ER_RNA,0.00089173
403,Cells.Cells_RadialDistribution_RadialCV_ER_2of4,0.0008886203
470,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_ER,0.0008834537
204,Cells.Cells_RadialDistribution_RadialCV_RNA_1of4,0.00087765703
1201,Cells.Cells_Neighbors_SecondClosestObjectNumber_Adjacent,0.00087751687
476,Nuclei.Nuclei_Intensity_MADIntensity_Brightfield,0.000869419
550,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_3of4,0.0008673296
899,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_3of4,0.00085892703
823,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_3of4,0.0008557141
643,Nuclei.Nuclei_AreaShape_Zernike_8_6,0.00085269666
441,Nuclei.Nuclei_Granularity_10_DNA,0.0008515131
343,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_RNA,0.00083282933
1322,Cells.Cells_Correlation_RWC_Mito_AGP,0.00081958884
156,Nuclei.Nuclei_Number_Object_Number,0.00081953866
75,Cells.Cells_Correlation_RWC_DNA_AGP,0.0008143539
401,Nuclei.Nuclei_Correlation_Correlation_DNA_Mito,0.0008129727
998,Cytoplasm.Cytoplasm_Correlation_RWC_ER_Brightfield,0.0008090594
1136,Cytoplasm.Cytoplasm_Granularity_4_Brightfield,0.0008083699
305,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_3of4,0.00080276467
3,Cytoplasm.Cytoplasm_Parent_Cells,0.00079965586
415,Nuclei.Nuclei_Correlation_K_Mito_ER,0.00079775095
1279,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_ER,0.0007973845
1300,Nuclei.Nuclei_Granularity_11_DNA,0.00079309935
1233,Nuclei.Nuclei_Correlation_K_ER_AGP,0.00079196447
1168,Nuclei.Nuclei_AreaShape_Zernike_5_5,0.00079011614
1121,Cells.Cells_Intensity_StdIntensity_ER,0.0007870369
328,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_4of4,0.0007851722
375,Nuclei.Nuclei_Granularity_4_Brightfield,0.0007840635
346,Cytoplasm.Cytoplasm_Parent_Nuclei,0.00076657766
431,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_ER,0.00076402293
321,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_2of4,0.0007605481
277,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,0.0007569881
579,Cells.Cells_Number_Object_Number,0.00074422307
1260,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_2of4,0.0007376212
531,Cytoplasm.Cytoplasm_Granularity_8_ER,0.0007342088
984,Nuclei.Nuclei_RadialDistribution_FracAtD_Mito_3of4,0.00073181634
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.00073149224
759,Nuclei.Nuclei_Correlation_RWC_ER_Mito,0.0007301481
45,Nuclei.Nuclei_Correlation_RWC_RNA_ER,0.0007300712
1078,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_3of4,0.0007278572
1267,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_RNA_1of4,0.00072639505
13,Nuclei.Nuclei_Correlation_Overlap_AGP_Brightfield,0.0007229445
551,Cytoplasm.Cytoplasm_Number_Object_Number,0.00072118995
99,Cells.Cells_Granularity_7_Mito,0.0007192639
622,Cytoplasm.Cytoplasm_Correlation_K_AGP_DNA,0.0007150195
559,Cytoplasm.Cytoplasm_Correlation_RWC_Brightfield_Mito,0.0007134922
350,Cytoplasm.Cytoplasm_Granularity_7_Mito,0.00071151525
1160,Nuclei.Nuclei_Intensity_MinIntensity_ER,0.00071106927
837,Cells.Cells_Correlation_Manders_DNA_RNA,0.0007110292
725,Cytoplasm.Cytoplasm_Intensity_MedianIntensity_DNA,0.0007103848
575,Nuclei.Nuclei_Granularity_2_DNA,0.0007062388
278,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_4of4,0.0007058253
988,Cytoplasm.Cytoplasm_Granularity_1_Mito,0.0006960846
50,Cytoplasm.Cytoplasm_AreaShape_Zernike_7_3,0.0006925184
435,Nuclei.Nuclei_Correlation_RWC_Mito_ER,0.00068932003
128,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_4of4,0.0006892177
309,Nuclei.Nuclei_Intensity_StdIntensityEdge_AGP,0.00068808935
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.0006817285
720,Nuclei.Nuclei_Correlation_Overlap_DNA_ER,0.0006723494
376,Cells.Cells_AreaShape_Zernike_8_0,0.00067144446
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.000668415
166,Cells.Cells_Correlation_Correlation_DNA_Mito,0.0006674112
929,Cells.Cells_Parent_Nuclei,0.00066696364
348,Nuclei.Nuclei_Intensity_MassDisplacement_Mito,0.00066582387
96,Cytoplasm.Cytoplasm_Correlation_RWC_Brightfield_ER,0.0006621638
78,Nuclei.Nuclei_Intensity_MinIntensityEdge_ER,0.0006615948
1210,Cells.Cells_Granularity_4_Brightfield,0.0006609182
232,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_3of4,0.00065870996
460,Nuclei.Nuclei_Correlation_K_ER_RNA,0.0006556764
1212,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_1of4,0.00065427704
247,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_RNA_1of4,0.00065350963
151,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_3of4,0.0006484
611,Nuclei.Nuclei_Granularity_5_DNA,0.00064675853
1038,Nuclei.Nuclei_Correlation_Overlap_ER_RNA,0.0006437343
194,Cytoplasm.Cytoplasm_Granularity_5_Mito,0.00064365205
542,Cells.Cells_Intensity_MADIntensity_AGP,0.0006418253
64,Cells.Cells_Granularity_2_AGP,0.000635807
783,Cells.Cells_Correlation_RWC_ER_DNA,0.00063438964
942,Cytoplasm.Cytoplasm_Intensity_StdIntensity_AGP,0.000626254
1156,Nuclei.Nuclei_Intensity_StdIntensity_AGP,0.000623567
512,Cells.Cells_RadialDistribution_RadialCV_Mito_2of4,0.000620968
687,Cells.Cells_Neighbors_NumberOfNeighbors_Adjacent,0.00061974896
609,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_DNA_2of4,0.0006194098
12,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_DNA_4of4,0.0006180414
35,Cells.Cells_AreaShape_Zernike_5_3,0.0006130096
872,Cytoplasm.Cytoplasm_AreaShape_Zernike_8_0,0.0006108947
557,Nuclei.Nuclei_Intensity_LowerQuartileIntensity_DNA,0.00060694607
855,Cells.Cells_Intensity_MADIntensity_Brightfield,0.00060260657
444,Cytoplasm.Cytoplasm_Correlation_Manders_DNA_RNA,0.0006019091
519,Cytoplasm.Cytoplasm_Correlation_RWC_ER_Mito,0.0006013697
1288,Nuclei.Nuclei_Correlation_RWC_Brightfield_RNA,0.00060000585
537,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_4of4,0.0005994065
819,Nuclei.Nuclei_Correlation_RWC_AGP_ER,0.00059830147
1207,Nuclei.Nuclei_AreaShape_EulerNumber,0.00059807225
481,Nuclei.Nuclei_Granularity_11_ER,0.0005914146
47,Cells.Cells_Neighbors_PercentTouching_Adjacent,0.00059086503
1063,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_DNA,0.0005889786
29,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_3of4,0.00058679614
1323,Nuclei.Nuclei_Intensity_MedianIntensity_ER,0.0005817913
472,Nuclei.Nuclei_Correlation_RWC_ER_Brightfield,0.0005802169
1229,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_ER_1of4,0.0005781209
388,Cells.Cells_Granularity_8_Brightfield,0.0005776057
150,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_2of4,0.00057663146
351,Cytoplasm.Cytoplasm_Granularity_2_Brightfield,0.00057491113
958,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_3of4,0.0005745495
72,Cytoplasm.Cytoplasm_Intensity_UpperQuartileIntensity_DNA,0.00057122915
1280,Nuclei.Nuclei_AreaShape_Zernike_9_3,0.00056921446
493,Nuclei.Nuclei_Granularity_15_DNA,0.0005676172
768,Cytoplasm.Cytoplasm_AreaShape_Zernike_1_1,0.0005672546
992,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_4of4,0.00056477834
623,Cells.Cells_Correlation_RWC_ER_Mito,0.0005634642
1105,Nuclei.Nuclei_Intensity_MaxIntensity_DNA,0.0005604139
210,Cells.Cells_Granularity_1_Mito,0.00055991416
449,Nuclei.Nuclei_Intensity_StdIntensityEdge_DNA,0.0005589884
773,Nuclei.Nuclei_Correlation_RWC_RNA_Brightfield,0.00055895495
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.0005583325
693,Nuclei.Nuclei_Intensity_MassDisplacement_DNA,0.0005569031
676,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_2of4,0.0005551825
1117,Nuclei.Nuclei_Correlation_K_ER_Brightfield,0.0005531566
523,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_1of4,0.00055247504
1004,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_2of4,0.00055144157
405,Nuclei.Nuclei_Granularity_8_Brightfield,0.00054993515
497,Nuclei.Nuclei_Correlation_RWC_DNA_ER,0.00054949155
1144,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_RNA,0.00054653746
131,Cells.Cells_Intensity_MassDisplacement_Brightfield,0.00054606074
932,Cells.Cells_AreaShape_Zernike_8_2,0.000544677
1213,Nuclei.Nuclei_Correlation_K_DNA_ER,0.00054409914
661,Cells.Cells_AreaShape_Zernike_7_3,0.0005421685
208,Cells.Cells_Neighbors_FirstClosestDistance_Adjacent,0.00054100476
780,Cells.Cells_AreaShape_Solidity,0.0005391015
482,Cytoplasm.Cytoplasm_AreaShape_Zernike_8_6,0.0005389158
276,Cells.Cells_Intensity_LowerQuartileIntensity_DNA,0.00053427817
139,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,0.00052814896
310,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_2of4,0.00052484707
778,Nuclei.Nuclei_Intensity_LowerQuartileIntensity_ER,0.00052420684
209,Cytoplasm.Cytoplasm_Granularity_9_Mito,0.0005235344
717,Cytoplasm.Cytoplasm_Granularity_8_Brightfield,0.0005228552
77,Cells.Cells_Correlation_Manders_AGP_RNA,0.0005213656
784,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_3of4,0.00051919546
790,Cytoplasm.Cytoplasm_Granularity_7_ER,0.00051899505
956,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_1of4,0.00051837554
696,Nuclei.Nuclei_AreaShape_Zernike_9_7,0.0005150808
950,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_4of4,0.0005147218
985,Cells.Cells_Neighbors_SecondClosestDistance_Adjacent,0.00051439286
1190,Nuclei.Nuclei_Intensity_MaxIntensityEdge_AGP,0.0005117733
903,Nuclei.Nuclei_Granularity_1_ER,0.00050499785
580,Nuclei.Nuclei_AreaShape_Zernike_7_5,0.0005048927
644,Nuclei.Nuclei_Correlation_Correlation_Mito_RNA,0.000503911
765,Cells.Cells_RadialDistribution_FracAtD_Mito_2of4,0.00050123036
734,Cells.Cells_Correlation_RWC_DNA_Brightfield,0.0005002419
1222,Cells.Cells_RadialDistribution_RadialCV_AGP_3of4,0.00049757236
1033,Cytoplasm.Cytoplasm_Intensity_MaxIntensityEdge_AGP,0.0004954663
407,Cytoplasm.Cytoplasm_Granularity_7_RNA,0.0004947747
315,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_DNA,0.00049438153
1247,Cytoplasm.Cytoplasm_Correlation_Manders_ER_RNA,0.0004935988
709,Nuclei.Nuclei_Granularity_3_Mito,0.00049263047
450,Nuclei.Nuclei_Intensity_UpperQuartileIntensity_ER,0.0004924752
1159,Cells.Cells_Correlation_K_RNA_AGP,0.00049044687
827,Cells.Cells_Correlation_RWC_Brightfield_Mito,0.0004897406
961,Cells.Cells_RadialDistribution_RadialCV_Mito_1of4,0.0004885825
727,Nuclei.Nuclei_AreaShape_Zernike_9_9,0.00048584468
67,Cells.Cells_Intensity_IntegratedIntensityEdge_DNA,0.00048418486
943,Cytoplasm.Cytoplasm_AreaShape_Zernike_4_2,0.00048354
168,Cytoplasm.Cytoplasm_Granularity_5_ER,0.0004833921
74,Cytoplasm.Cytoplasm_Intensity_MADIntensity_Brightfield,0.00048239293
670,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_Mito,0.00048034007
456,Cytoplasm.Cytoplasm_Intensity_MADIntensity_Mito,0.0004773353
153,Nuclei.Nuclei_AreaShape_Extent,0.00047687136
527,Nuclei.Nuclei_Intensity_MeanIntensity_ER,0.00047447163
112,Cytoplasm.Cytoplasm_AreaShape_Zernike_0_0,0.00047407413
280,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_RNA,0.00047362683
1183,Nuclei.Nuclei_Granularity_6_DNA,0.000472067
584,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_1of4,0.0004695002
1065,Cytoplasm.Cytoplasm_AreaShape_Zernike_6_0,0.00046826882
52,Cytoplasm.Cytoplasm_Intensity_LowerQuartileIntensity_DNA,0.00046700743
980,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_Mito,0.00046674217
933,Cytoplasm.Cytoplasm_Granularity_4_ER,0.0004665874
1191,Nuclei.Nuclei_Correlation_K_ER_DNA,0.00046454926
1196,Cytoplasm.Cytoplasm_Correlation_Overlap_AGP_Brightfield,0.00046157648
297,Nuclei.Nuclei_Granularity_2_AGP,0.00046148474
266,Cells.Cells_AreaShape_Zernike_3_1,0.0004609888
261,Nuclei.Nuclei_Granularity_7_RNA,0.00045947934
1077,Cells.Cells_RadialDistribution_RadialCV_ER_1of4,0.0004578161
1220,Cells.Cells_Granularity_11_ER,0.00045697246
1193,Cytoplasm.Cytoplasm_Granularity_10_Mito,0.0004558315
1321,Cells.Cells_Intensity_StdIntensity_AGP,0.00045535227
803,Cytoplasm.Cytoplasm_Intensity_StdIntensity_ER,0.00045510306
359,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_4of4,0.0004547489
144,Cytoplasm.Cytoplasm_Granularity_3_RNA,0.00045432354
583,Cells.Cells_Correlation_K_AGP_RNA,0.00044889277
793,Nuclei.Nuclei_Intensity_MaxIntensity_RNA,0.0004488145
17,Cytoplasm.Cytoplasm_Intensity_MADIntensity_RNA,0.0004484246
938,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_4of4,0.00044778784
1023,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_3of4,0.00044763816
708,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_3of4,0.0004472369
706,Nuclei.Nuclei_Intensity_MassDisplacement_AGP,0.0004465193
289,Cytoplasm.Cytoplasm_Correlation_K_Brightfield_DNA,0.00044513095
1242,Nuclei.Nuclei_Granularity_4_Mito,0.00044297913
468,Nuclei.Nuclei_Intensity_IntegratedIntensity_ER,0.0004388183
545,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_Mito,0.00043612812
292,Nuclei.Nuclei_RadialDistribution_MeanFrac_AGP_3of4,0.00043479397
794,Cells.Cells_RadialDistribution_RadialCV_AGP_4of4,0.00043341712
866,Cells.Cells_Granularity_5_Mito,0.00043145425
881,Nuclei.Nuclei_Intensity_MADIntensity_ER,0.0004310937
1197,Nuclei.Nuclei_Granularity_3_Brightfield,0.00043049955
454,Cytoplasm.Cytoplasm_Intensity_StdIntensityEdge_AGP,0.00043008936
1053,Cells.Cells_Correlation_RWC_ER_RNA,0.00042903135
637,Cells.Cells_AreaShape_Zernike_4_2,0.00042802762
207,Cytoplasm.Cytoplasm_AreaShape_Zernike_9_1,0.00042736696
798,Nuclei.Nuclei_RadialDistribution_FracAtD_DNA_4of4,0.0004261655
989,Cytoplasm.Cytoplasm_Correlation_K_RNA_ER,0.0004254631
1014,Nuclei.Nuclei_Correlation_K_RNA_Mito,0.00042380605
586,Cells.Cells_RadialDistribution_RadialCV_DNA_1of4,0.0004229891
381,Cells.Cells_Correlation_Overlap_AGP_Brightfield,0.00042292054
152,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_2of4,0.00042251623
469,Nuclei.Nuclei_Intensity_StdIntensity_RNA,0.0004215947
724,Cytoplasm.Cytoplasm_AreaShape_Zernike_7_7,0.00041975616
753,Cytoplasm.Cytoplasm_Granularity_4_AGP,0.00041904728
862,Cells.Cells_Granularity_8_ER,0.0004187109
26,Cytoplasm.Cytoplasm_AreaShape_Zernike_6_4,0.0004173875
1282,Cells.Cells_RadialDistribution_RadialCV_Mito_3of4,0.00041654857
1069,Cytoplasm.Cytoplasm_Granularity_13_Brightfield,0.00041648545
438,Cells.Cells_Intensity_MedianIntensity_DNA,0.00041480866
960,Cells.Cells_AreaShape_Zernike_4_0,0.00041419157
578,Nuclei.Nuclei_AreaShape_Zernike_6_2,0.00041392024
937,Nuclei.Nuclei_Correlation_RWC_Brightfield_ER,0.00041354765
574,Cells.Cells_Granularity_6_RNA,0.00041313848
838,Nuclei.Nuclei_Granularity_7_Mito,0.00041296412
1139,Nuclei.Nuclei_RadialDistribution_FracAtD_AGP_3of4,0.00041242506
993,Cells.Cells_Granularity_2_RNA,0.00041220643
193,Nuclei.Nuclei_RadialDistribution_FracAtD_DNA_1of4,0.0004110259
521,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_2of4,0.00041073823
604,Cells.Cells_Intensity_StdIntensity_RNA,0.00041069533
329,Cells.Cells_Correlation_RWC_Mito_Brightfield,0.00040966895
1100,Cells.Cells_Intensity_MassDisplacement_ER,0.00040949657
812,Nuclei.Nuclei_RadialDistribution_FracAtD_DNA_3of4,0.00040936618
774,Cells.Cells_Correlation_Manders_DNA_ER,0.00040876452
628,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_RNA_2of4,0.000407578
1091,Nuclei.Nuclei_Correlation_K_RNA_ER,0.00040736084
1037,Cells.Cells_AreaShape_Zernike_7_1,0.00040601694
53,Cytoplasm.Cytoplasm_AreaShape_Zernike_2_0,0.00040255277
1070,Nuclei.Nuclei_Intensity_MaxIntensityEdge_RNA,0.0004024218
963,Cytoplasm.Cytoplasm_AreaShape_Zernike_4_0,0.000402314
697,Nuclei.Nuclei_Correlation_RWC_DNA_RNA,0.00040002668
478,Nuclei.Nuclei_Granularity_5_Brightfield,0.00039965613
1167,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_ER,0.00039963762
439,Cells.Cells_Intensity_MeanIntensityEdge_DNA,0.00039886334
576,Nuclei.Nuclei_AreaShape_Zernike_5_1,0.00039749497
127,Nuclei.Nuclei_Granularity_10_ER,0.0003972175
563,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_1of4,0.00039457998
463,Nuclei.Nuclei_Intensity_StdIntensityEdge_RNA,0.00039426997
395,Nuclei.Nuclei_Intensity_MaxIntensity_AGP,0.00039420766
87,Cytoplasm.Cytoplasm_Intensity_MaxIntensityEdge_RNA,0.00039407925
760,Cells.Cells_Granularity_13_Brightfield,0.00039286044
1130,Cells.Cells_Correlation_RWC_DNA_Mito,0.00038837866
1174,Cells.Cells_Granularity_3_RNA,0.0003874134
944,Cells.Cells_AreaShape_Zernike_9_5,0.0003865975
1223,Nuclei.Nuclei_AreaShape_Zernike_8_2,0.00038534662
54,Nuclei.Nuclei_Granularity_13_RNA,0.00038454734
1007,Cells.Cells_Correlation_K_DNA_Brightfield,0.0003813313
962,Cells.Cells_RadialDistribution_FracAtD_DNA_4of4,0.00038118442
674,Nuclei.Nuclei_AreaShape_Zernike_1_1,0.00037967492
1246,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_2of4,0.0003791881
316,Cells.Cells_Intensity_MaxIntensity_AGP,0.00037845373
257,Nuclei.Nuclei_Intensity_MaxIntensity_ER,0.00037837433
5,Cells.Cells_Granularity_9_Mito,0.00037762927
380,Cytoplasm.Cytoplasm_Correlation_Correlation_DNA_ER,0.00037712327
467,Cells.Cells_Correlation_Manders_Brightfield_Mito,0.00037494965
839,Nuclei.Nuclei_Intensity_IntegratedIntensity_DNA,0.00037435355
496,Nuclei.Nuclei_Granularity_6_Brightfield,0.0003741707
318,Cells.Cells_Granularity_4_ER,0.00037359618
738,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_2of4,0.00037359554
1034,Cells.Cells_Correlation_Correlation_Mito_RNA,0.0003718988
107,Cytoplasm.Cytoplasm_Granularity_13_Mito,0.00037116976
1020,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_2of4,0.00037092154
987,Cytoplasm.Cytoplasm_Granularity_11_ER,0.0003707029
810,Cells.Cells_AreaShape_Zernike_0_0,0.00037006248
1180,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_Mito,0.00036989528
755,Cells.Cells_Granularity_6_Brightfield,0.0003696889
1257,Nuclei.Nuclei_Granularity_6_AGP,0.00036796834
116,Cells.Cells_RadialDistribution_RadialCV_Mito_4of4,0.00036781328
568,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_3of4,0.00036761662
836,Nuclei.Nuclei_Correlation_Manders_ER_AGP,0.00036759843
246,Cells.Cells_Correlation_Manders_RNA_Mito,0.00036759183
750,Nuclei.Nuclei_AreaShape_Zernike_7_1,0.00036710117
918,Cytoplasm.Cytoplasm_Intensity_MinIntensity_DNA,0.00036543608
111,Cytoplasm.Cytoplasm_Correlation_Correlation_AGP_Brightfield,0.00036533855
525,Cells.Cells_Correlation_RWC_ER_Brightfield,0.00036412833
748,Nuclei.Nuclei_Granularity_6_RNA,0.00036219446
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.00036189007
