,FeatureNames,Saliency
279,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_Brightfield,0.0009641128
1003,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_4of4,0.0009605477
795,Cytoplasm.Cytoplasm_Granularity_3_AGP,0.00095948996
1104,Cells.Cells_Granularity_6_AGP,0.0009548616
974,Nuclei.Nuclei_Correlation_RWC_ER_DNA,0.0009526892
1087,Nuclei.Nuclei_Intensity_MassDisplacement_RNA,0.0009508272
1009,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_4of4,0.00094844884
818,Nuclei.Nuclei_Correlation_Manders_RNA_DNA,0.0009355618
1134,Cells.Cells_Correlation_RWC_Brightfield_RNA,0.00093147997
870,Cytoplasm.Cytoplasm_Correlation_RWC_ER_RNA,0.00092676823
358,Cells.Cells_Correlation_RWC_AGP_ER,0.0009219387
912,Nuclei.Nuclei_Correlation_Manders_AGP_DNA,0.000920439
1052,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_Brightfield,0.0009148247
169,Cells.Cells_AreaShape_Compactness,0.00090279593
241,Cytoplasm.Cytoplasm_AreaShape_Zernike_9_9,0.0009019829
102,Nuclei.Nuclei_Intensity_IntegratedIntensity_Brightfield,0.0008964033
190,Nuclei.Nuclei_AreaShape_Area,0.00089553045
988,Cytoplasm.Cytoplasm_Granularity_1_Mito,0.00089047145
637,Cells.Cells_AreaShape_Zernike_4_2,0.0008886584
1173,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.00088682625
750,Nuclei.Nuclei_AreaShape_Zernike_7_1,0.000879202
700,Nuclei.Nuclei_Intensity_StdIntensity_Brightfield,0.00087720016
998,Cytoplasm.Cytoplasm_Correlation_RWC_ER_Brightfield,0.0008748869
413,Nuclei.Nuclei_Correlation_Manders_Mito_DNA,0.0008725711
309,Nuclei.Nuclei_Intensity_StdIntensityEdge_AGP,0.00086198933
780,Cells.Cells_AreaShape_Solidity,0.00086070667
773,Nuclei.Nuclei_Correlation_RWC_RNA_Brightfield,0.0008581415
131,Cells.Cells_Intensity_MassDisplacement_Brightfield,0.0008571469
692,Cells.Cells_Intensity_MaxIntensity_RNA,0.0008537894
784,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_3of4,0.0008524294
1267,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_RNA_1of4,0.0008481623
328,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_4of4,0.0008465646
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0008426703
500,Cytoplasm.Cytoplasm_AreaShape_Zernike_8_4,0.00084103824
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.0008355885
19,Cytoplasm.Cytoplasm_AreaShape_Zernike_3_1,0.0008355287
1168,Nuclei.Nuclei_AreaShape_Zernike_5_5,0.0008349859
456,Cytoplasm.Cytoplasm_Intensity_MADIntensity_Mito,0.00083320896
810,Cells.Cells_AreaShape_Zernike_0_0,0.0008317598
1207,Nuclei.Nuclei_AreaShape_EulerNumber,0.0008315207
380,Cytoplasm.Cytoplasm_Correlation_Correlation_DNA_ER,0.00083025347
305,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_3of4,0.00081786024
10,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_1of4,0.00081466435
68,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_3of4,0.00081442896
374,Nuclei.Nuclei_AreaShape_MinFeretDiameter,0.00080677145
946,Cytoplasm.Cytoplasm_Correlation_RWC_Brightfield_AGP,0.0008048639
999,Cells.Cells_Correlation_RWC_RNA_Brightfield,0.00079914887
1130,Cells.Cells_Correlation_RWC_DNA_Mito,0.00079862634
43,Cells.Cells_Granularity_3_ER,0.00078497216
30,Cytoplasm.Cytoplasm_Intensity_StdIntensityEdge_Brightfield,0.00078275905
1233,Nuclei.Nuclei_Correlation_K_ER_AGP,0.0007822783
514,Cells.Cells_Correlation_K_Brightfield_DNA,0.0007753679
275,Nuclei.Nuclei_Granularity_16_DNA,0.0007709538
1199,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_2of4,0.00076758506
75,Cells.Cells_Correlation_RWC_DNA_AGP,0.00076726853
145,Nuclei.Nuclei_AreaShape_MinorAxisLength,0.00076442433
56,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0.00076191034
116,Cells.Cells_RadialDistribution_RadialCV_Mito_4of4,0.0007543155
584,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_1of4,0.00075204996
504,Nuclei.Nuclei_AreaShape_Zernike_2_2,0.0007503596
674,Nuclei.Nuclei_AreaShape_Zernike_1_1,0.0007485086
141,Cells.Cells_Intensity_MADIntensity_ER,0.00073978753
425,Cells.Cells_AreaShape_Extent,0.0007390301
710,Cells.Cells_Granularity_4_AGP,0.0007376657
1156,Nuclei.Nuclei_Intensity_StdIntensity_AGP,0.00073431514
327,Cytoplasm.Cytoplasm_Intensity_MADIntensity_DNA,0.0007307266
838,Nuclei.Nuclei_Granularity_7_Mito,0.00072603335
903,Nuclei.Nuclei_Granularity_1_ER,0.00072047213
1037,Cells.Cells_AreaShape_Zernike_7_1,0.0007193493
276,Cells.Cells_Intensity_LowerQuartileIntensity_DNA,0.00071811955
942,Cytoplasm.Cytoplasm_Intensity_StdIntensity_AGP,0.0007178387
1196,Cytoplasm.Cytoplasm_Correlation_Overlap_AGP_Brightfield,0.0007157149
259,Cytoplasm.Cytoplasm_Granularity_6_AGP,0.0007136219
175,Nuclei.Nuclei_Intensity_MADIntensity_AGP,0.00070653553
343,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_RNA,0.00070628896
881,Nuclei.Nuclei_Intensity_MADIntensity_ER,0.00070428883
1053,Cells.Cells_Correlation_RWC_ER_RNA,0.00070425647
182,Cells.Cells_Intensity_UpperQuartileIntensity_DNA,0.00070354174
855,Cells.Cells_Intensity_MADIntensity_Brightfield,0.00069918553
431,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_ER,0.00069898396
1056,Nuclei.Nuclei_RadialDistribution_FracAtD_Brightfield_1of4,0.00069733325
538,Cytoplasm.Cytoplasm_Granularity_2_RNA,0.0006940162
229,Nuclei.Nuclei_Granularity_3_DNA,0.000688761
1010,Nuclei.Nuclei_Granularity_6_ER,0.0006875256
121,Cells.Cells_Granularity_3_AGP,0.00068525056
549,Cells.Cells_Correlation_Overlap_DNA_ER,0.00068472396
1279,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_ER,0.0006842749
563,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_1of4,0.0006835671
1004,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_2of4,0.00068055413
144,Cytoplasm.Cytoplasm_Granularity_3_RNA,0.000675286
166,Cells.Cells_Correlation_Correlation_DNA_Mito,0.00067471777
384,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_4of4,0.00067370624
1028,Nuclei.Nuclei_RadialDistribution_FracAtD_Mito_4of4,0.00067363755
351,Cytoplasm.Cytoplasm_Granularity_2_Brightfield,0.0006715563
387,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_ER_2of4,0.00067142246
1092,Nuclei.Nuclei_Granularity_5_Mito,0.0006713601
11,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_RNA,0.0006668317
623,Cells.Cells_Correlation_RWC_ER_Mito,0.0006659822
704,Cells.Cells_Intensity_StdIntensity_Brightfield,0.00066312315
61,Cytoplasm.Cytoplasm_Correlation_Manders_AGP_ER,0.0006630192
94,Nuclei.Nuclei_AreaShape_Zernike_6_4,0.00066036225
725,Cytoplasm.Cytoplasm_Intensity_MedianIntensity_DNA,0.0006587715
521,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_2of4,0.0006494659
662,Cells.Cells_Intensity_StdIntensityEdge_Brightfield,0.00064749876
873,Cells.Cells_RadialDistribution_FracAtD_ER_4of4,0.00064722355
1312,Cytoplasm.Cytoplasm_AreaShape_Zernike_6_2,0.0006440981
925,Cells.Cells_AreaShape_Zernike_4_4,0.0006433541
45,Nuclei.Nuclei_Correlation_RWC_RNA_ER,0.00064264185
