plate,Training mAP model,Training mAP BM,Validation mAP model,Validation mAP BM,PR model,PR BM
BR00120530,0.23590609621598052,0.2758856192839,0.2095235383769511,0.391869410803957,0,58.9
BR00120270,0.27918802653263075,0.255327061593674,0.27227176281876936,0.375987549312335,0,48.9
BR00120274,0.16105126250207055,0.233239695043804,0.2035831754775607,0.339715880679655,0,54.4
BR00120532,0.16261854792415276,0.232531381438077,0.1950790182615844,0.375862056698157,0,50.0
BR00120536,0.025980721528208354,0.247177289527001,0.028421056262496483,0.352918330917017,0,54.4
BR00120526,0.3094982905692409,0.279039591805153,0.36096951147169026,0.370810413597102,0,56.7
