plate,Training mAP model,Training mAP BM,Validation mAP model,Validation mAP BM
BR00112202,0.6921475187975246,0.3421840985152065,0.5183262383301125,0.2981442724588986
BR00112197standard,0.6314938966990797,0.3980029686611647,0.5101072914347847,0.2872469885841517
BR00112199,0.37822962935622434,0.3242609221548903,0.30322274850329084,0.2856400431209666
BR00113818,0.7011304753023757,0.2767280656444763,0.4196662028161619,0.2947347243992793
BR00113819,0.5904878807493641,0.2815275669772907,0.43501584221315415,0.2430040296360672
BR00112198,0.7128904913322616,0.3510426121594226,0.5428602326832362,0.2911458406175167
BR00112197repeat,0.6092344270819348,0.4110146205052005,0.525934739684594,0.3348889498710993
BR00112204,0.5728148116314055,0.3528568876896359,0.5141594583992971,0.2953341107528351
BR00113820,0.6971049612953332,0.3021554474917121,0.39136100251161304,0.2998388354698786
BR00113821,0.37092644212141646,0.236541294801108,0.2389112021827331,0.2211844008508765
BR00112197binned,0.6884520873928252,0.4129324937017742,0.5036222339137354,0.3022772296025912
BR00112201,0.6354969855201343,0.4038234149352637,0.5197708228136251,0.3176727542378186
