,JNK inhibitor,LXR agonist,histone lysine methyltransferase inhibitor,IGF-1 inhibitor,inosine monophosphate dehydrogenase inhibitor,glycogen synthase kinase inhibitor,CHK inhibitor,kinesin inhibitor,ubiquitin specific protease inhibitor,mTOR inhibitor,RAF inhibitor,p21 activated kinase inhibitor,acetylcholine receptor antagonist,Aurora kinase inhibitor,p38 MAPK inhibitor,antihistamine,androgen receptor modulator,MAP kinase inhibitor,tricyclic antidepressant,protein tyrosine kinase inhibitor,smoothened receptor agonist,phospholipase inhibitor,FGFR inhibitor,HMGCR inhibitor,tumor necrosis factor production inhibitor,JAK inhibitor,protein arginine N-methyltransferase inhibitor,beta-catenin inhibitor,bromodomain inhibitor,phosphodiesterase inhibitor,CDK inhibitor,PARP inhibitor,phosphoinositide dependent kinase inhibitor,hepatocyte growth factor receptor inhibitor,CDC inhibitor,DNA inhibitor,histone lysine demethylase inhibitor,pyruvate dehydrogenase kinase inhibitor,DYRK inhibitor,MEK inhibitor,BCL inhibitor,hypoxia inducible factor inhibitor,HDAC inhibitor,Bcr-Abl kinase inhibitor,MDM inhibitor,EGFR inhibitor
0,8.0,8.0,7.754166666666666,7.110714285714286,6.255196886446886,4.362598712135406,3.560515873015873,2.292026690501727,2.1431344610262735,1.8626587369602077,0.8894309466346979,0.8612623973016065,0.788887197576931,0.6998927090676604,0.6909461381520062,0.5691339683016277,0.5307380164940397,0.49804104683459105,0.49363406099027834,0.41443938792951546,0.38211389682435504,0.35278842758754075,0.3280129418912528,0.22283494798296608,0.1636476860553364,0.15527888276588264,0.1547638988378493,0.1510835080078899,0.14544712642345078,0.1452281513799027,0.12435697080387058,0.12408782052143706,0.12071591901101168,0.10698371293634382,0.09806408559456949,0.09736703563290512,0.08958056481371447,0.07964954729304785,0.07126917333224173,0.06672309736617292,0.06669107313887819,0.06506715634733863,0.0619237892215547,0.06177423306979956,0.057993093523212344,0.04679567478234817
0,15.515476190476189,15.95,12.394470297954873,12.521016714766716,13.027220695970694,8.940418018152386,7.985488816738816,4.730057712844445,3.083700870420898,2.9175749136551525,1.752174058185968,1.9703635223547438,1.7551908468666078,1.4241897552532352,2.163531132225968,0.856140766884051,1.0476996729327614,0.7557567715256231,1.4107935655935988,0.8375310002556119,0.6004514210163038,1.417849912525896,0.575569684595908,0.4881225004540674,0.3297520217352072,0.3943381685521924,0.3031911973781913,0.31764304883986094,0.29552245831147855,0.6844581297593713,0.24206906421037616,0.2884100863549972,0.23238831761064854,0.19758358846391472,0.19227176355273512,0.19079406699505794,0.16858670320016503,0.16770312557889938,0.14841635992817395,0.1195214421727441,0.16049251935832762,0.12795769591546127,0.13059274560637646,0.12889923793916228,0.10157434044813632,0.09565276136618858
0,21.58594897468471,18.87390201310839,15.24979873461398,14.228850575900331,17.715906478067854,9.972102560031045,9.148983711920826,5.078714083082077,3.906716548727523,6.327265124840851,2.8208605188947216,2.4533402115087166,2.1366130067968707,2.72062791001719,3.062718156537942,1.8978850872445712,1.4220212230888718,1.014486146302159,1.612415782295293,1.8449193225683458,0.794664587238147,1.6104614023130417,0.7638028497947527,0.7064309808209487,0.49041639718019625,0.5110422074138804,0.47048500210203315,1.3387400463911847,0.9424794474275108,0.8064775102190833,0.3522253628995409,0.473607227632246,0.34257611089607104,0.3012366098321949,0.30299035588131334,0.30542595483707957,0.2726595278248807,0.271281273320067,0.2030709758659988,0.1700922082407914,0.283791766552846,0.20023288673374362,0.254219714122003,0.32398772834064915,0.1512825930932473,0.13760030359295491
0,29.58594897468471,26.87390201310839,22.544441591756836,19.620409017458773,24.31054933521071,15.944920020348505,13.199416612353723,5.956167360083293,5.693827278096925,9.070614663060143,3.167970300272483,2.613735102175473,3.4503403731353357,4.521056505696998,3.328993519784172,2.1930872629941907,1.773083708457038,1.2624558398475636,2.1169670724863114,2.6540722658026064,1.1267648895728277,1.8403444021964137,1.1294294755445582,1.4184410615228669,0.6191988169486984,0.6656223283822985,0.5867560127319655,1.4274858482655708,1.6368864243019488,1.0810608553406376,0.4637810654099113,0.5820944384667859,0.4736231928630817,0.39275963280394044,0.3935633327450724,0.41619715731407586,0.34060336894452276,0.3619708053619859,0.32203654896234113,0.2362959826179409,0.4807627501104778,0.2703941399722134,0.31753204083236075,0.39297805734324837,0.2863868554281721,0.24215742955224487
0,36.167224621234965,34.87390201310839,26.783366544528725,24.989756336806092,29.05026134670459,21.338608970287453,15.853232524683566,7.501122181383068,7.852018529748445,13.285473619463213,4.747146489906323,2.8222036737405176,4.117398511004537,6.175862030629096,3.672416476780928,3.0509848826033665,1.9563929032150487,2.6413045507634187,2.4342073377715274,3.0374464667722925,1.3067232567545495,2.1509298330972713,1.3310647916847147,1.6800786435676773,0.815073418173427,0.9005654076573855,0.7760352256828101,1.5424293404225682,2.1402555889287114,1.6071824936056125,0.5433198614072342,0.8942269229676508,0.5888056985902692,0.49718373242648994,0.5281629873677673,0.5382021796958935,0.4233810215750679,0.45368162218177444,0.39002977660782506,0.3353704603464176,0.6003043075538332,0.33152164521258753,0.3787930997373674,0.460331428816228,0.41321000094745375,0.3001948100868044
0,44.167224621234965,42.87390201310839,30.055665535782538,31.769457191506945,36.900261346704596,24.616530123208605,18.459644576683854,9.309808201579479,8.475969782410662,15.066567404885715,6.0961016864755,3.7079318500733143,5.358851984947339,7.129414331138979,5.213261974709849,3.595264355576966,2.757036603392045,2.999503391055479,2.7410563884637433,4.4274451858878825,1.566655083193091,2.426061403254602,1.5840069572556434,2.056243306129413,0.9501376544794405,1.0985894328759624,0.8944152755766718,1.643897829074741,2.2770501451771765,1.9213161100976885,0.622533538413772,1.0298434532097458,0.6997514393965023,0.6098349589651367,0.6331962859471835,0.6999598032589598,0.49071293747288197,0.5616486474348433,0.4524487930289241,0.4278918460748223,0.6786132536394558,0.3952016565574988,0.44970960242674235,0.5239724580813667,0.4941943780224632,0.35159383466349403
0,51.63270081171116,50.06060836231475,33.586602058419494,37.39069494778308,42.7395040484473,29.898935656272037,22.97968425922353,11.202269686921282,9.909718036655754,16.13874790471104,7.351129107226188,5.037603147767867,7.083326455238317,7.998478374535397,6.6061545045875745,3.9728515643765094,3.456728955219916,3.2238039298628998,3.038881537433512,4.804874790070577,1.8888810036214738,3.378806249182469,1.8416468392352072,2.246818428298448,1.1116659782770908,1.3574089964189433,1.0191650424026433,1.7874417298930734,2.493319888168678,2.50105909762555,0.7239744238283903,1.1751187734164246,0.7947753840263622,0.7008812729868671,0.7290389498970383,0.8208854011636008,0.5715383429026611,0.6499628454706577,0.517228549592193,0.48518964681217,0.7692901170465329,0.4556115005347493,0.5087572529342952,0.586787156751392,0.5398332144481403,0.39761625299806774
0,59.63270081171116,57.50386233056872,37.49351993629326,43.56227614436428,47.74545197281034,33.526703252954114,26.680599316388584,13.27421863765331,11.577803212431169,17.748899723357198,8.706197554928604,5.286705736600813,7.657412951287239,8.932915581626187,7.344150181843009,4.355192493352305,3.979637146987516,3.585128086203664,3.406585052305936,5.568690732816721,2.1151337878802083,3.734481971515953,2.1685946693572933,2.4811615836709437,1.2649112224473147,1.6194757921119467,1.234986789870877,1.8907517279996633,2.749895860555083,2.802263960603245,0.8560577492233914,1.3231116066052275,0.9043432271482496,0.816025607230168,0.83588415330131,0.9429476877290665,0.6434110303726832,0.7353813425363009,0.5822063677566238,0.6148902208543312,0.8499453135416807,0.5201551490705412,0.5682252529415875,0.6526405059195929,0.6671497697850323,0.44293651523888966
0,63.69781748851262,64.42886233056872,41.93556443591129,49.31940880638825,55.54961863947701,35.50215461682073,29.325574541327047,14.225119834145275,13.827544144776079,24.708587951795426,12.130288700710928,6.555103317841161,8.004084621505793,10.445936894772275,8.961511392038352,4.749202238352244,4.520529984976951,5.355295298431672,4.007798091567431,6.042828381846914,2.5844583311609597,3.8415802632614753,2.45777926577869,2.9542064481450816,1.402567289594699,1.8381190455717953,1.3693069393288875,1.9756912504579238,3.2013529516535417,3.0111639681961666,1.0844248735205886,1.4455429682975953,1.02084063392061,0.8782438005258274,0.9068946777664665,1.0190582777102366,0.7169242019350037,0.8300697390984674,0.6591857909843148,0.7617472554348833,0.9540008038737723,0.5795863096473974,0.644962754103939,0.7167910044785127,0.9419006157497511,0.5137189179790674
0,67.13878168126159,64.58176862477674,44.609440951731884,50.21266428417105,60.12411747397585,36.33756087511201,32.45624248449499,15.461189481865112,14.03257618352707,30.369576962784432,13.74483085448138,6.673487686973831,8.47352703434934,11.505117912415564,9.714240613899772,5.176237855607252,4.80483049860835,6.219584722715812,4.148409672779474,6.474636020392106,2.7888407591267392,4.014491695230124,3.571079860519373,3.2984606199252924,1.5441169461835342,1.9953938113713576,1.568676315674459,2.155226992853685,3.6388336747581067,3.266283991876999,1.2548744946792134,1.675944658576653,1.1178542031279057,0.9890189225222112,1.0352244286269583,1.0852240668257285,0.8233519755475754,0.9251193341566081,0.7173178362076953,0.8072027706739173,1.231928602061343,0.6403674738939859,0.714806424125758,0.7869502800320021,1.1235879248462584,0.5714020971638336
0,75.05544834792826,72.53176862477675,48.62072457362001,56.22334837664862,66.85428730414569,41.86077516082631,34.29125677575929,16.67341783066884,15.898143190994427,32.17368299811032,16.66489391953751,7.426482301904175,8.87954570861462,12.340368446419157,11.475569382897202,5.478864629256168,5.260677757609587,6.377584801445085,4.512900180449265,7.282053396833367,3.058042019219184,4.65096604273037,3.8142695350023126,3.4774802300376546,1.693616750459083,2.1406483699277916,1.6904262812799744,2.311805102071595,3.8756538128990736,4.178626556820167,1.3346385809225143,1.8251737446290335,1.2495238386307908,1.0697705981766379,1.143072546569953,1.1810291620490991,0.9153825445599526,1.0118888720867958,0.7867445962939282,0.8577936445451172,1.3290828115768907,0.7045795881443562,0.7899733951155472,0.8484739500492781,1.1652399459491476,0.6226668141900981
0,83.05544834792826,79.47754651926789,51.61374981372469,62.077316630616885,74.69714444700283,46.05467778597892,39.485105982108486,19.932845987781707,17.95552571031582,33.48499117733185,17.439061449509417,7.622490931100667,9.507261587369069,13.475360326327372,11.990134674908704,6.220985925932176,6.795788882920029,6.97735886416004,4.81541374274003,8.272933951162,3.2868897311680048,4.961235671258862,4.033478230156782,3.7233845843995,1.8986042300370323,2.2631502140433466,1.8660912925885547,2.43504781847283,4.0560120413137,4.334851663847798,1.4249232228899231,1.9541871776868192,1.3498038292969776,1.2135714888333018,1.2283621291583864,1.3022036087811397,0.9935780511598182,1.1116044524695596,0.835676888677103,0.9231097626972594,1.409679378455199,0.7780196196095379,0.8520496129860544,0.9118604954230192,1.2094037133057396,0.6634237640938592
